block,pie_tv,donut_tv,treemap_tv,bar_tv,stacked_tv,funnel_tv,angle1_tv,angle2_tv,arc1_tv,arc2_tv,area1_tv,area2_tv,
1,17.8,38.3,26.1,10,38.6,22.2,18.2,11,30.8,38.6,26.9,48,Tv
,24.07142857,37.16085714,26.69142857,9.685714286,38.48571429,20.14285714,16.48412698,9.5,32.55245714,36.24942857,24.48571429,47.82857143,Response
,,,,,,,,,,,,,
2,46.4,5,38.6,52.2,38.3,45.3,30.8,26.9,11,48,18.2,38.6,Tv
,45.16666667,6.538461538,47.21794872,49.02564103,34.87179487,45.69230769,29.02777778,26.05413105,12.92307692,47.48717949,21.15384615,37.91025641,Response
,,,,,,,,,,,,,
3,17.5,10.3,46.4,72.2,5,46.1,38.6,48,18.2,26.9,11,30.8,Tv
,20.4375,14.609375,48.40625,77.5625,7.15625,47.1,35.26041667,46.42361111,20.59375,27.4375,12.609375,29.90625,Response
,,,,,,,,,,,,,
4,10.3,17.8,17.5,76.6,26.1,10.8,18.2,38.6,11,26.9,30.8,48,Tv
,13.89583334,20.29375,19.31177081,75.875,25.2615625,11.65972188,16.11111111,35.546875,11.953125,29.6875,32.20625,47.86458333,Response
