,charttype,trueValueInDegrees,error,trueValue
4,pie,64.08,42.2,17.8
10,pie,64.08,21.2,17.8
18,pie,64.08,47.2,17.8
67,pie,63.0,22.5,17.5
92,pie,37.080000000000005,24.7,10.3
175,donut,37.080000000000005,22.7,10.3
177,donut,37.080000000000005,29.7,10.3
232,treemap,138.96,21.4,38.6
234,treemap,138.96,21.4,38.6
237,treemap,138.96,26.4,38.6
250,treemap,138.96,31.4,38.6
251,treemap,138.96,24.4,38.6
258,treemap,138.96,26.4,38.6
285,treemap,167.04,28.6,46.4
461,stacked,137.88,21.299999999999997,38.3
553,funnel,163.07999999999998,29.700000000000003,45.3
605,funnel,38.88,34.2,10.8
672,angle,138.96,26.1,38.6
1012,arc,96.84,48.1,26.9
